strategy,date,code,name,industry,prev_vol_ratio,buy,sell,ret,equity_after
A_no_lookahead,2024-09-27,sh.600657,信达地产,K70房地产业,2.126164083623687,3.99,4.56,0.1413571428571428,282727.07166426664
A_no_lookahead,2024-09-30,sz.000783,长江证券,J67资本市场服务,3.7270465136959037,7.0,7.94,0.13278571428571434,295241.11038388265
A_no_lookahead,2024-09-30,sz.002670,国盛证券,J67资本市场服务,1.8587914850674991,12.0,13.68,0.1384999999999999,308293.6768590496
A_no_lookahead,2024-09-30,sz.000563,陕国投A,J69其他金融业,1.8414512864834738,3.59,4.11,0.14334679665738165,321803.0168761811
A_no_lookahead,2024-10-10,sz.300498,温氏股份,A03畜牧业,1.5687388113240806,19.4,19.0,-0.022118556701030856,314685.1986008425
A_no_lookahead,2024-10-17,sz.300440,运达科技,I65软件和信息技术服务业,3.4052022612847876,8.18,7.5,-0.08462958435207818,301369.35982117226
A_no_lookahead,2024-10-17,sz.300249,依米康,I65软件和信息技术服务业,2.1246370192692163,9.65,9.24,-0.04398704663212433,294448.32356852497
A_no_lookahead,2024-10-21,sh.603083,剑桥科技,C39计算机、通信和其他电子设备制造业,1.8341811977046367,34.73,37.4,0.07537877915346974,301846.7086199854
A_no_lookahead,2024-10-21,sz.300102,乾照光电,C39计算机、通信和其他电子设备制造业,2.2187830371137904,10.6,11.0,0.036235849056603764,305403.23695591843
A_no_lookahead,2024-10-21,sh.688693,锴威特,C39计算机、通信和其他电子设备制造业,2.7366771418189826,36.0,35.88,-0.004833333333333299,304928.84799016913
A_no_lookahead,2024-10-22,sz.300424,航新科技,C43金属制品、机械和设备修理业,1.7720202687679072,17.49,15.93,-0.09069382504288154,277273.68440002133
A_no_lookahead,2024-10-24,sz.300424,航新科技,C43金属制品、机械和设备修理业,2.0478877112126823,20.8,20.89,0.0028269230769231725,278057.51577707526
A_no_lookahead,2024-10-25,sh.600439,瑞贝卡,C19皮革、毛皮、羽毛及其制品和制鞋业,2.3234967345059405,3.83,3.96,0.03244255874673635,287078.4130676446
A_no_lookahead,2024-10-28,sh.600307,酒钢宏兴,C31黑色金属冶炼和压延加工业,4.113407109660619,1.67,1.85,0.10628443113772473,297249.068342583
A_no_lookahead,2024-10-28,sh.601388,怡球资源,C42废弃资源综合利用业,1.5975174213715595,2.7,2.69,-0.005203703703703764,296751.11134213855
A_no_lookahead,2024-10-28,sh.600569,安阳钢铁,C31黑色金属冶炼和压延加工业,1.8663719742740827,1.77,2.05,0.1566920903954801,311745.4168924673
A_no_lookahead,2024-10-29,sh.601801,皖新传媒,R86新闻和出版业,2.4790360558104765,7.98,7.7,-0.03658771929824561,300339.3630866911
A_no_lookahead,2024-10-30,sz.000592,平潭发展,C20木材加工和木、竹、藤、棕、草制品业,1.7698973112481937,2.47,2.54,0.026840080971659852,308400.4959109147
A_no_lookahead,2024-10-31,sz.000415,渤海租赁,L71租赁业,1.741502768232987,3.18,3.66,0.14944339622641506,354488.91341775237
A_no_lookahead,2024-11-05,sz.300607,拓斯达,C34通用设备制造业,1.6497846272684262,15.59,18.99,0.21658851828094933,380081.65625247726
A_no_lookahead,2024-11-05,sz.301255,通力科技,C34通用设备制造业,5.2928459854128045,37.01,35.8,-0.034193866522561456,376041.2073894325
A_no_lookahead,2024-11-05,sz.300024,机器人,C34通用设备制造业,1.6841036286718911,16.15,18.8,0.16258668730650166,395252.933429257
A_no_lookahead,2024-11-07,sz.000998,隆平高科,A05农、林、牧、渔专业及辅助性活动,2.905166520903948,12.19,11.68,-0.04333757178014769,386688.2822423548
A_no_lookahead,2024-11-07,sz.002041,登海种业,A05农、林、牧、渔专业及辅助性活动,2.36455806113516,11.5,11.15,-0.03193478260869559,380377.12399009854
A_no_lookahead,2024-11-08,sz.000798,中水渔业,A04渔业,1.7561578540802771,8.8,8.04,-0.08786363636363653,346955.80668678664
A_no_lookahead,2024-11-14,sh.600604,市北高新,K70房地产业,3.0399631138259973,5.5,4.96,-0.09968181818181815,312370.6210475083
A_no_lookahead,2024-11-21,sz.001300,三柏硕,C24文教、工美、体育和娱乐用品制造业,1.7378882755318315,13.42,13.7,0.019364381520119267,318419.48492914886
A_no_lookahead,2024-11-22,sz.000504,南华生物,M75科技推广和应用服务业,1.9518232694661612,10.46,10.01,-0.04452103250478018,304243.1206904629
A_no_lookahead,2024-11-25,sz.002292,奥飞娱乐,C24文教、工美、体育和娱乐用品制造业,1.711317703297597,8.01,9.23,0.15080961298377044,327184.5143326145
A_no_lookahead,2024-11-25,sz.001300,三柏硕,C24文教、工美、体育和娱乐用品制造业,3.124549365215949,13.13,13.38,0.01754036557501909,329852.7821129122
A_no_lookahead,2024-11-26,sz.300703,创源股份,C24文教、工美、体育和娱乐用品制造业,2.2206903784932432,11.5,12.8,0.11154347826086958,366645.7087438112
A_no_lookahead,2024-11-28,sz.002292,奥飞娱乐,C24文教、工美、体育和娱乐用品制造业,2.233068335518926,10.07,9.21,-0.08690218470705063,350714.5521921601
A_no_lookahead,2024-11-28,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,31.009378379047636,40.86,37.48,-0.08422148800783164,335274.82861111517
A_no_lookahead,2024-12-03,sh.600540,新赛股份,A01农业,3.044771066490345,5.5,4.77,-0.1342272727272728,312773.31568182824
A_no_lookahead,2024-12-03,sh.601118,海南橡胶,A01农业,3.5279844922699777,6.55,5.96,-0.09157633587786257,297421.6955236861
A_no_lookahead,2024-12-05,sh.601011,宝泰隆,C25石油、煤炭及其他燃料加工业,1.7705956454355196,3.22,3.6,0.11651242236024834,332075.01773164305
A_no_lookahead,2024-12-06,sz.301302,华如科技,I65软件和信息技术服务业,1.6023661468229895,27.55,26.51,-0.03924954627949179,327730.41980606935
A_no_lookahead,2024-12-06,sh.688031,星环科技,I65软件和信息技术服务业,2.2763292331723113,64.81,63.69,-0.01878128375250737,325651.488094357
A_no_lookahead,2024-12-06,sh.603859,能科科技,I65软件和信息技术服务业,1.6477734563337298,35.0,38.81,0.10735714285714298,337535.0298003251
A_no_lookahead,2024-12-09,sz.300759,康龙化成,M73研究和试验发展,2.5938024809668474,30.98,30.5,-0.016993867010974884,335623.0213310011
A_no_lookahead,2024-12-09,sz.301230,泓博医药,M73研究和试验发展,1.9343522450319974,29.5,28.53,-0.03438135593220332,331754.7173312838
A_no_lookahead,2024-12-09,sh.688202,美迪西,M73研究和试验发展,2.117832999013168,40.0,39.0,-0.026500000000000024,328773.1579013809
A_no_lookahead,2024-12-10,sz.000002,万科A,K70房地产业,1.5210585206118423,8.99,8.51,-0.05489265850945496,322757.41367346235
A_no_lookahead,2024-12-10,sz.001236,弘业期货,J67资本市场服务,1.7294310464427765,12.0,11.2,-0.06816666666666676,315286.95691892545
A_no_lookahead,2024-12-10,sz.002314,南山控股,K70房地产业,1.9826477286737358,2.92,2.78,-0.04944520547945214,309868.20480273804
A_no_lookahead,2024-12-13,sh.603216,梦天家居,C20木材加工和木、竹、藤、棕、草制品业,1.814910894338955,13.06,14.45,0.10493185298621738,320706.5531065594
A_no_lookahead,2024-12-13,sz.300860,锋尚文化,R88文化艺术业,1.6064801383243206,31.0,38.04,0.22559677419354834,344008.30891610717
A_no_lookahead,2024-12-13,sz.000592,平潭发展,C20木材加工和木、竹、藤、棕、草制品业,2.394977305626068,3.23,3.17,-0.020075851393188848,341934.68623907585
A_no_lookahead,2024-12-16,sz.300860,锋尚文化,R88文化艺术业,2.4284434866269144,38.04,36.62,-0.03882912723449011,337509.01109312166
A_no_lookahead,2024-12-16,sh.600706,曲江文旅,N78公共设施管理业,4.81024127884597,13.79,12.99,-0.059513052936910726,330725.8187320843
A_no_lookahead,2024-12-16,sz.300144,宋城演艺,R88文化艺术业,1.8205077935118064,10.65,10.32,-0.032485915492957707,327023.1316249931
A_no_lookahead,2024-12-17,sz.002858,力盛体育,R89体育,3.0079005013607856,15.1,13.13,-0.13196357615894033,283867.98968906316
A_no_lookahead,2024-12-18,sh.605086,龙高股份,B10非金属矿采选业,4.34494320102124,34.59,38.67,0.1164531656548134,316925.3157164225
A_no_lookahead,2024-12-25,sz.301230,泓博医药,M73研究和试验发展,1.8799188018960211,30.0,27.32,-0.09083333333333338,288137.93287218077
A_no_lookahead,2024-12-27,sh.600893,航发动力,C37铁路、船舶、航空航天和其他运输设备制造业,1.9842517442201189,42.69,41.28,-0.03452881236823607,284821.5793320758
A_no_lookahead,2024-12-27,sh.600862,中航高科,C37铁路、船舶、航空航天和其他运输设备制造业,3.992445416498409,25.8,25.29,-0.021267441860465197,282778.92708702455
A_no_lookahead,2024-12-27,sz.000738,航发控制,C37铁路、船舶、航空航天和其他运输设备制造业,1.5562917048855414,22.15,22.2,0.0007573363431150905,282851.66619648924
A_no_lookahead,2024-12-30,sz.300424,航新科技,C43金属制品、机械和设备修理业,5.886093182376279,18.73,18.81,0.002771222637479921,283635.51113690186
A_no_lookahead,2025-01-06,sh.600664,哈药股份,C27医药制造业,4.5045060389249505,4.57,4.8,0.04882822757111588,288251.984231916
A_no_lookahead,2025-01-06,sz.301211,亨迪药业,C27医药制造业,2.3331807758367167,23.84,22.16,-0.07196979865771808,281447.58735568204
A_no_lookahead,2025-01-06,sz.000756,新华制药,C27医药制造业,3.977935015917583,17.7,18.13,0.022793785310734338,283602.62967146706
A_no_lookahead,2025-01-15,sz.300242,佳云科技,L72商务服务业,2.4073796891877453,4.89,5.31,0.08438957055214719,291580.331046612
A_no_lookahead,2025-01-15,sz.301066,万事利,C18纺织服装、服饰业,2.5624813567926954,14.88,14.34,-0.03779032258064524,288007.852759944
A_no_lookahead,2025-01-15,sh.603000,人民网,I64互联网和相关服务,1.6045809944238063,22.01,21.5,-0.024671285779191365,285675.57225182565
A_no_lookahead,2025-01-17,sh.603808,歌力思,C18纺织服装、服饰业,3.4065875268309114,9.0,7.92,-0.1215,250965.99022322884
A_no_lookahead,2025-01-20,sz.300251,光线传媒,R87广播、电视、电影和录音制作业,1.745924603899028,9.5,9.35,-0.017289473684210577,246626.9203396325
A_no_lookahead,2025-01-23,sz.002797,第一创业,J67资本市场服务,2.0476287559569157,8.23,7.86,-0.04645747266099637,235169.25693048828
A_no_lookahead,2025-01-24,sh.603929,亚翔集成,E49建筑安装业,1.863486219842263,28.54,29.92,0.04685318850735826,246187.6864565878
A_no_lookahead,2025-01-27,sz.300418,昆仑万维,I64互联网和相关服务,2.2552981454424086,38.49,39.0,0.011750194855806586,247151.93755224286
A_no_lookahead,2025-01-27,sh.601360,三六零,I64互联网和相关服务,2.082531744662012,10.8,12.21,0.12905555555555553,257742.5671011068
A_no_lookahead,2025-01-27,sz.300113,顺网科技,I64互联网和相关服务,2.977398376290635,17.18,16.83,-0.021872526193248032,255947.65156094785
A_no_lookahead,2025-02-05,sh.603039,泛微网络,I65软件和信息技术服务业,2.7450977795014495,63.0,64.26,0.018500000000000016,257525.99541224036
A_no_lookahead,2025-02-05,sz.300378,鼎捷数智,I65软件和信息技术服务业,2.9121179738909815,35.05,34.21,-0.025465763195434976,255353.3613172141
A_no_lookahead,2025-02-05,sh.600633,浙数文化,I64互联网和相关服务,1.5095966093698592,10.82,11.68,0.07798243992606274,262006.50210457025
A_no_lookahead,2025-02-06,sh.600633,浙数文化,I64互联网和相关服务,4.353605328030147,11.68,13.59,0.162027397260274,304458.7337058423
A_no_lookahead,2025-02-07,sz.002284,亚太股份,C36汽车制造业,5.17935341524988,9.41,9.13,-0.031255579171094505,301286.7223539509
A_no_lookahead,2025-02-07,sz.002126,银轮股份,C36汽车制造业,2.123279776730587,22.7,22.49,-0.010751101321585908,300195.6334558465
A_no_lookahead,2025-02-07,sh.603786,科博达,C36汽车制造业,2.468732056403809,71.0,71.58,0.006669014084506987,300872.4466502583
A_no_lookahead,2025-02-10,sz.000032,深桑达A,E49建筑安装业,2.0111792085232914,19.3,19.73,0.020779792746114023,302956.46901172784
A_no_lookahead,2025-02-10,sh.600050,中国联通,I63电信、广播电视和卫星传输服务,2.9284183239275463,5.44,5.4,-0.008852941176470562,302068.6003211227
A_no_lookahead,2025-02-10,sz.300288,朗玛信息,I63电信、广播电视和卫星传输服务,1.6576730980495624,16.5,16.64,0.00698484848484854,302769.11647216196
A_no_lookahead,2025-02-14,sz.000032,深桑达A,E49建筑安装业,1.6689668445631853,23.0,25.93,0.12589130434782608,340885.1154610813
A_no_lookahead,2025-02-17,sz.300244,迪安诊断,Q84卫生,1.7462998733798132,19.1,19.19,0.0032120418848167755,341250.09455067187
A_no_lookahead,2025-02-17,sh.688315,诺禾致源,M73研究和试验发展,1.673857213400001,18.0,18.99,0.053499999999999936,347329.2124430611
A_no_lookahead,2025-02-17,sz.300759,康龙化成,M73研究和试验发展,2.034317509845276,27.68,27.44,-0.01017052023121384,346173.55278862227
A_no_lookahead,2025-02-18,sz.002184,海得控制,C38电气机械和器材制造业,2.082432101376958,15.7,14.72,-0.06392038216560497,338797.7041919976
A_no_lookahead,2025-02-18,sh.601877,正泰电器,C38电气机械和器材制造业,5.379563158556964,24.19,23.11,-0.04614654816039693,333472.79935012566
A_no_lookahead,2025-02-18,sz.002150,正泰电源,C38电气机械和器材制造业,2.038412105405856,13.43,12.92,-0.03947468354430378,328917.7688675463
A_no_lookahead,2025-02-21,sz.002990,盛视科技,I65软件和信息技术服务业,1.544354018822763,31.3,33.7,0.07517731629392982,353644.9240123955
A_no_lookahead,2025-02-24,sz.002041,登海种业,A05农、林、牧、渔专业及辅助性活动,1.9328498911655767,12.4,11.5,-0.07408064516129037,327446.6798835417
A_no_lookahead,2025-03-03,sz.000833,粤桂股份,S91综合,1.7050038952968423,15.03,14.37,-0.045412175648702646,320011.64681231376
A_no_lookahead,2025-03-03,sz.300591,万里马,C19皮革、毛皮、羽毛及其制品和制鞋业,2.862084822640189,4.55,4.4,-0.03446703296703285,314368.589057068
A_no_lookahead,2025-03-04,sz.002155,湖南黄金,B09有色金属矿采选业,1.8463942475146586,18.25,19.07,0.043431506849315016,328022.09058590955
A_no_lookahead,2025-03-06,sz.002195,岩山科技,I64互联网和相关服务,1.6085332511048245,6.02,6.93,0.14966279069767446,352568.44132969587
A_no_lookahead,2025-03-06,sh.688500,慧辰股份,I65软件和信息技术服务业,2.423778518437791,32.75,33.26,0.014072519083969505,354876.48989456275
A_no_lookahead,2025-03-07,sz.301287,康力源,C24文教、工美、体育和娱乐用品制造业,12.052094889434265,38.18,33.02,-0.13664929282346766,330629.67920267954
A_no_lookahead,2025-03-07,sh.600637,东方明珠,I63电信、广播电视和卫星传输服务,3.080998016258203,8.49,8.08,-0.04979210836277975,321794.65488256305
A_no_lookahead,2025-03-10,sz.300143,盈康生命,Q84卫生,1.6017858315873688,11.05,10.28,-0.07118325791855212,310341.4589249046
A_no_lookahead,2025-03-10,sz.000048,京基智农,A03畜牧业,2.1036850513089567,15.84,15.95,0.00544444444444442,311217.4554854182
A_no_lookahead,2025-03-12,sz.002238,天威视讯,I63电信、广播电视和卫星传输服务,2.9523695978013893,10.48,11.0,0.04811832061068705,318705.086136763
A_no_lookahead,2025-03-12,sh.605068,明新旭腾,C19皮革、毛皮、羽毛及其制品和制鞋业,2.4016411658105317,15.55,15.35,-0.014361736334405238,316470.27461758995
A_no_lookahead,2025-03-14,sh.688196,卓越新能,C42废弃资源综合利用业,1.7260208261230003,47.0,44.01,-0.06511702127659574,295862.67301190627
A_no_lookahead,2025-03-17,sh.605108,同庆楼,H62餐饮业,2.9534415476984615,24.0,22.65,-0.057750000000000024,287319.63832868746
A_no_lookahead,2025-03-17,sz.300860,锋尚文化,R88文化艺术业,4.800662927430438,29.5,28.42,-0.0381101694915254,281681.9500213377
A_no_lookahead,2025-03-18,sz.300511,雪榕生物,A01农业,5.935063410246296,5.63,5.3,-0.06011456483126115,264748.762174984
A_no_lookahead,2025-03-21,sh.603998,方盛制药,C27医药制造业,1.8373073325182385,11.03,10.05,-0.09034859474161366,256775.53596762015
A_no_lookahead,2025-03-21,sz.002864,盘龙药业,C27医药制造业,2.7442175791347183,30.5,28.87,-0.054942622950819586,251926.8721619947
A_no_lookahead,2025-03-21,sz.301111,粤万年青,C27医药制造业,3.0139064524876167,18.01,16.36,-0.0931157690172128,243709.44396656842
A_no_lookahead,2025-03-24,sz.002320,海峡股份,G55水上运输业,1.721093951534485,7.4,6.6,-0.10960810810810823,216996.91288531385
A_no_lookahead,2025-04-01,sz.002631,德尔未来,C20木材加工和木、竹、藤、棕、草制品业,2.712982367516427,4.8,4.68,-0.026500000000000024,211246.49469385302
A_no_lookahead,2025-04-07,sh.600371,万向德农,A05农、林、牧、渔专业及辅助性活动,3.339828526596702,9.25,10.64,0.1487702702702703,221722.22739693694
A_no_lookahead,2025-04-07,sz.002041,登海种业,A05农、林、牧、渔专业及辅助性活动,1.6255687881025487,10.8,11.4,0.05405555555555558,225528.57627355025
A_no_lookahead,2025-04-07,sz.000713,国投丰乐,A05农、林、牧、渔专业及辅助性活动,4.0375810080179155,7.68,8.08,0.05058333333333348,229090.42689241606
A_no_lookahead,2025-04-08,sz.300511,雪榕生物,A01农业,2.7767582240974327,4.6,5.5,0.19415217391304368,243916.56169369264
A_no_lookahead,2025-04-08,sz.300736,百邦科技,O81机动车、电子产品和日用产品修理业,2.4507996115166923,7.2,7.35,0.019333333333333258,245392.9222225549
A_no_lookahead,2025-04-08,sh.600598,北大荒,A01农业,9.97783034803308,16.05,18.43,0.14678660436137064,256602.05750763306
A_no_lookahead,2025-04-09,sh.600598,北大荒,A01农业,3.8259163591105567,18.43,17.3,-0.06281307650569717,251229.40261771763
A_no_lookahead,2025-04-09,sz.000713,国投丰乐,A05农、林、牧、渔专业及辅助性活动,3.645216429881923,9.3,8.26,-0.11332795698924741,241536.00697219183
A_no_lookahead,2025-04-09,sz.300511,雪榕生物,A01农业,2.2910431834675866,5.5,5.11,-0.07240909090909081,235342.56640234852
A_no_lookahead,2025-04-10,sz.002126,银轮股份,C36汽车制造业,1.9859458561803718,24.0,23.4,-0.026500000000000024,233263.70706579444
A_no_lookahead,2025-04-10,sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,3.6043565209319133,7.2,6.83,-0.05288888888888893,229114.70478403452
A_no_lookahead,2025-04-10,sh.603516,淳中科技,C39计算机、通信和其他电子设备制造业,1.9936211165805136,38.66,36.66,-0.05323305742369372,224938.70333352263
A_no_lookahead,2025-04-11,sh.600794,保税科技,G59装卸搬运和仓储业,3.461247900574791,3.85,3.6,-0.06643506493506496,217466.79465233668
A_no_lookahead,2025-04-11,sh.600547,山东黄金,B09有色金属矿采选业,1.5672757880446122,29.9,29.4,-0.018222408026755843,215417.33223576026
A_no_lookahead,2025-04-14,sh.600171,上海贝岭,C39计算机、通信和其他电子设备制造业,1.7530845007413873,36.73,36.47,-0.00857868227606856,214801.33328575728
A_no_lookahead,2025-04-14,sh.603595,ST东尼,C39计算机、通信和其他电子设备制造业,1.5621500196102205,18.2,17.75,-0.02622527472527464,212918.20704626778
A_no_lookahead,2025-04-14,sz.000016,*ST康佳A,C39计算机、通信和其他电子设备制造业,2.8088457217238387,5.33,4.99,-0.06528986866791747,208230.0172694458
A_no_lookahead,2025-04-23,sz.002983,芯瑞达,C39计算机、通信和其他电子设备制造业,1.7615135213524116,17.81,18.39,0.031065974171813615,210386.3067155421
A_no_lookahead,2025-04-23,sz.300866,安克创新,C39计算机、通信和其他电子设备制造业,1.5720514545883368,84.0,84.72,0.0070714285714284526,210877.13461339148
A_no_lookahead,2025-04-23,sh.600523,贵航股份,C36汽车制造业,2.929886832110743,12.5,12.02,-0.03989999999999999,208107.67538370786
A_no_lookahead,2025-04-25,sz.300725,药石科技,M73研究和试验发展,1.8608726924498098,32.49,31.26,-0.03935780240073866,205377.45512843152
A_no_lookahead,2025-04-25,sh.688202,美迪西,M73研究和试验发展,1.746774432745069,29.5,28.3,-0.04217796610169494,202451.602302486
A_no_lookahead,2025-04-25,sz.300015,爱尔眼科,Q84卫生,1.8205554032618618,13.02,13.05,0.0008041474654379445,202507.38538905198
A_no_lookahead,2025-04-28,sh.600452,涪陵电力,D44电力、热力生产和供应业,3.38192073979965,10.2,9.97,-0.02404901960784306,200072.3333480748
A_no_lookahead,2025-04-28,sz.000722,湖南发展,D44电力、热力生产和供应业,1.6993184830901387,13.24,12.65,-0.04606193353474314,195408.39248503224
A_no_lookahead,2025-05-07,sz.300033,同花顺,J69其他金融业,1.722506102503744,280.72,267.68,-0.04795198062125966,192284.98600180764
A_no_lookahead,2025-05-07,sz.300059,东方财富,J67资本市场服务,1.7634660126376946,22.0,21.09,-0.04286363636363638,189493.01457584725
A_no_lookahead,2025-05-07,sh.601162,天风证券,J67资本市场服务,1.801955024526289,4.24,4.03,-0.05102830188679247,186169.2284282009
A_no_lookahead,2025-05-09,sh.600156,华升股份,C17纺织业,2.4146338906060163,6.0,7.04,0.17183333333333334,196832.58812317174
A_no_lookahead,2025-05-09,sh.600493,凤竹纺织,C17纺织业,1.8284394569299474,5.82,5.99,0.027709621993127043,198552.14777200427
A_no_lookahead,2025-05-09,sz.000677,ST海龙,C17纺织业,4.455038666109814,4.98,4.97,-0.0035080321285141922,198334.45189378198
A_no_lookahead,2025-05-12,sh.600493,凤竹纺织,C17纺织业,2.6971110462546353,5.99,5.8,-0.03321953255425719,196138.2593000099
A_no_lookahead,2025-05-12,sz.300877,金春股份,C17纺织业,2.907512359617117,16.32,15.78,-0.03458823529411775,193851.57973699924
A_no_lookahead,2025-05-12,sh.600630,龙头股份,C18纺织服装、服饰业,4.068324069672591,9.2,8.95,-0.028673913043478272,191955.90479462314
A_no_lookahead,2025-05-13,sz.300729,乐歌股份,C21家具制造业,1.7645070127581635,15.68,16.35,0.04122959183673475,194593.99266306762
A_no_lookahead,2025-05-13,sh.601022,宁波远洋,G55水上运输业,2.706237718654276,8.74,9.58,0.09460983981693355,200647.63179791224
A_no_lookahead,2025-05-13,sz.001317,三羊马,G58多式联运和运输代理业,1.5205506337451034,42.99,40.6,-0.057094324261456164,196994.4342404971
A_no_lookahead,2025-05-15,sz.300240,飞力达,G58多式联运和运输代理业,2.363756107566765,10.5,9.93,-0.05578571428571427,193331.27583235834
A_no_lookahead,2025-05-15,sh.601008,连云港,G55水上运输业,1.6427211561270287,6.53,6.77,0.03525344563552829,195646.18669169134
A_no_lookahead,2025-05-15,sh.601083,锦江航运,G55水上运输业,3.282100847983911,13.77,13.45,-0.024738925199709494,194021.70983387975
A_no_lookahead,2025-05-19,sh.603080,新疆火炬,D45燃气生产和供应业,2.216922351110541,18.2,17.06,-0.06413736263736264,187799.6894523114
A_no_lookahead,2025-05-19,sz.000421,南京公用,D45燃气生产和供应业,3.5613086569023475,6.49,6.32,-0.027694144838212587,185113.05678536283
A_no_lookahead,2025-05-21,sz.002103,广博股份,C24文教、工美、体育和娱乐用品制造业,1.7119991209739258,10.8,10.17,-0.05983333333333335,181421.07970836587
A_no_lookahead,2025-05-21,sz.002731,*ST萃华,C24文教、工美、体育和娱乐用品制造业,2.166074418447863,11.2,11.85,0.05653571428571441,184909.57933802338
A_no_lookahead,2025-05-21,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,2.4867038203679495,20.57,19.32,-0.062268108896451124,181067.3660120014
A_no_lookahead,2025-05-22,sz.300192,科德教育,P83教育,1.9244438773516142,16.9,16.14,-0.04647041420118331,176860.22826355393
A_no_lookahead,2025-05-22,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,1.7454830278470854,8.0,7.4,-0.07649999999999996,169934.40151359487
A_no_lookahead,2025-05-27,sh.600616,金枫酒业,C15酒、饮料和精制茶制造业,1.5172235100030589,6.45,7.1,0.09927519379844957,186804.67215688055
A_no_lookahead,2025-05-28,sh.603779,威龙股份,C15酒、饮料和精制茶制造业,2.305500138204297,7.96,7.72,-0.03165075376884424,180892.16347557344
